2021 Postal Area (POA) Code,Usual Resident Population,Score,Decile
3214,24500 ,856,1
3215,21994 ,964,3
3216,60123 ,1012,6
3217,20499 ,1063,9
3218,14942 ,981,4
3219,20309 ,927,2
3220,17270 ,1003,6
3221,801 ,1117,10
3222,18576 ,1028,7
3223,9536 ,993,5
3224,15101 ,1028,7
3225,5408 ,1036,8
3226,17714 ,1056,9
3227,5459 ,1084,10
3228,24181 ,1086,10
3230,3208 ,1039,8
3231,1571 ,1059,9
3232,1327 ,1014,6
3233,2363 ,972,3
3234,237 ,1056,9
3235,515 ,1068,9
3236,257 ,999,5
3237,276 ,989,5
3238,251 ,995,5
3239,491 ,998,5
3240,2169 ,1112,10
3241,3072 ,1033,7
3242,942 ,1042,8
3243,392 ,1050,8
3249,3368 ,1047,8
3250,12756 ,958,3
3251,524 ,1018,7
3254,358 ,1009,6
3260,4801 ,988,5
3264,2254 ,959,3
3265,2827 ,1051,8
3266,3047 ,1011,6
3267,214 ,1033,7
3268,2552 ,1043,8
3269,676 ,1037,8
3270,322 ,1027,7
3271,188 ,1041,8
3272,1641 ,969,3
3273,130 ,1084,10
3274,256 ,1020,7
3275,490 ,1082,10
3276,437 ,1027,7
3277,1820 ,1049,8
3278,343 ,1054,8
3279,300 ,1057,9
3280,33298 ,976,4
3281,1857 ,1107,10
3282,2488 ,1034,7
3283,1423 ,1072,9
3284,3860 ,1014,6
3285,1255 ,1062,9
3286,532 ,1013,6
3287,418 ,1063,9
3289,804 ,979,4
3292,191 ,1000,5
3293,336 ,980,4
3294,967 ,1013,6
3300,10479 ,967,3
3301,1267 ,1075,9
3302,356 ,1054,9
3303,282 ,1024,7
3304,2786 ,967,3
3305,13344 ,962,3
3309,122 ,1011,6
3310,263 ,981,4
3311,1707 ,934,2
3312,1023 ,1041,8
3314,569 ,1039,8
3315,1686 ,996,5
3317,184 ,1025,7
3318,1243 ,977,4
3319,410 ,1013,6
3321,1780 ,1104,10
3322,176 ,1024,7
3323,91 ,1008,6
3324,577 ,959,3
3325,456 ,980,4
3328,2308 ,1104,10
3329,309 ,1047,8
3330,208 ,1009,6
3331,7202 ,1088,10
3332,1181 ,1070,9
3333,864 ,1031,7
3334,544 ,1013,6
3335,6195 ,1034,7
3336,17737 ,1098,10
3337,40724 ,982,4
3338,37062 ,997,5
3340,25614 ,1032,7
3341,1644 ,1076,9
3342,3946 ,1030,7
3345,1393 ,1063,9
3350,66022 ,976,4
3351,9106 ,1054,9
3352,18922 ,1061,9
3355,13059 ,885,1
3356,15601 ,909,1
3357,3797 ,1050,8
3358,3440 ,1052,8
3360,803 ,970,3
3361,695 ,950,2
3363,3598 ,973,4
3364,2272 ,1043,8
3370,1900 ,954,3
3371,1090 ,961,3
3373,2453 ,972,4
3374,425 ,1001,5
3375,236 ,1018,7
3377,9602 ,949,2
3378,140 ,1062,9
3379,749 ,1017,6
3380,6220 ,937,2
3381,1401 ,1003,6
3384,608 ,1024,7
3385,541 ,1046,8
3387,289 ,1041,8
3388,567 ,970,3
3390,957 ,952,2
3391,181 ,1028,7
3392,584 ,952,2
3393,2614 ,946,2
3395,350 ,971,3
3396,694 ,982,4
3400,15134 ,940,2
3401,4596 ,1082,10
3407,416 ,1031,7
3409,987 ,1006,6
3412,295 ,957,3
3413,196 ,1079,9
3414,1719 ,941,2
3415,36 ,1090,10
3418,2875 ,975,4
3419,891 ,983,4
3420,283 ,1048,8
3423,476 ,924,1
3424,750 ,976,4
3427,5669 ,1046,8
3428,668 ,1069,9
3429,39093 ,1042,8
3430,303 ,1058,9
3431,4390 ,1091,10
3432,185 ,1058,9
3433,207 ,1096,10
3434,6143 ,1075,9
3435,3228 ,1067,9
3437,11715 ,1100,10
3438,2509 ,1093,10
3440,2073 ,1106,10
3441,1450 ,1128,10
3442,8586 ,1073,9
3444,10066 ,1033,7
3446,1101 ,1045,8
3447,524 ,1042,8
3448,981 ,1049,8
3450,7588 ,948,2
3451,5819 ,1025,7
3453,1852 ,1050,8
3458,2330 ,1049,8
3460,2799 ,967,3
3461,4614 ,1022,7
3462,1230 ,997,5
3463,2588 ,991,5
3464,1192 ,985,4
3465,10111 ,913,1
3467,1356 ,937,2
3468,267 ,982,4
3469,269 ,987,5
3472,1492 ,919,1
3475,373 ,960,3
3477,817 ,1010,6
3478,2584 ,940,2
3480,1805 ,953,2
3482,207 ,1030,7
3483,882 ,981,4
3485,291 ,927,2
3487,82 ,962,3
3488,89 ,967,3
3489,62 ,981,4
3490,1292 ,955,3
3491,149 ,979,4
3494,641 ,943,2
3496,6464 ,963,3
3498,5977 ,1025,7
3500,34565 ,923,1
3501,2146 ,1086,10
3505,5010 ,987,5
3506,33 ,1085,10
3507,171 ,1016,6
3509,228 ,1014,6
3512,369 ,1008,6
3515,2516 ,1077,9
3516,722 ,1026,7
3517,1497 ,953,2
3518,1321 ,930,2
3520,156 ,889,1
3521,772 ,1045,8
3522,338 ,1026,7
3523,3965 ,967,3
3525,1369 ,965,3
3527,741 ,959,3
3529,117 ,995,5
3530,114 ,995,5
3531,194 ,999,5
3533,744 ,951,2
3537,1094 ,978,4
3540,263 ,952,2
3542,139 ,1016,6
3544,252 ,995,5
3546,346 ,989,5
3549,4017 ,897,1
3550,41839 ,936,2
3551,35614 ,1069,9
3555,21043 ,948,2
3556,14088 ,946,2
3557,853 ,1040,8
3558,971 ,947,2
3559,563 ,1030,7
3561,4498 ,985,4
3562,257 ,1053,8
3563,850 ,984,4
3564,17080 ,985,4
3565,134 ,1057,9
3566,578 ,976,4
3567,665 ,970,3
3568,2947 ,973,4
3570,837 ,1020,7
3571,305 ,1041,8
3572,137 ,1051,8
3573,340 ,1016,6
3575,842 ,923,1
3576,60 ,1006,6
3579,5450 ,956,3
3580,1101 ,963,3
3581,147 ,1072,9
3583,162 ,1026,7
3584,1138 ,1019,7
3585,11508 ,950,2
3586,799 ,1051,8
3588,404 ,994,5
3589,359 ,1051,8
3590,337 ,1028,7
3591,163 ,1029,7
3594,536 ,914,1
3595,673 ,897,1
3596,103 ,999,5
3597,458 ,960,3
3599,154 ,977,4
3607,160 ,1047,8
3608,2825 ,978,4
3610,1600 ,977,4
3612,1801 ,943,2
3614,927 ,1065,9
3616,5605 ,991,5
3617,161 ,1017,6
3618,679 ,933,2
3620,8340 ,970,3
3621,2437 ,971,3
3622,537 ,1042,8
3623,890 ,956,3
3624,563 ,953,2
3629,9536 ,925,1
3630,32151 ,916,1
3631,14605 ,1064,9
3633,620 ,1041,8
3634,1888 ,1045,8
3635,552 ,1009,6
3636,5375 ,964,3
3637,642 ,1035,7
3638,2199 ,975,4
3639,479 ,966,3
3640,1025 ,1012,6
3641,1266 ,1006,6
3644,9390 ,959,3
3646,601 ,1006,6
3647,51 ,1040,8
3649,478 ,996,5
3658,6251 ,1017,6
3659,748 ,1035,7
3660,7842 ,937,2
3662,1108 ,1022,7
3663,183 ,1067,9
3664,1139 ,1027,7
3665,397 ,1027,7
3666,5142 ,973,4
3669,1475 ,982,4
3670,596 ,1039,8
3672,10822 ,950,2
3673,1818 ,1050,8
3675,1936 ,1057,9
3677,19214 ,951,2
3678,6568 ,1068,9
3682,645 ,1044,8
3683,1748 ,1006,6
3685,2935 ,1000,5
3687,1061 ,1001,5
3688,1334 ,1066,9
3690,35051 ,957,3
3691,12771 ,1086,10
3695,488 ,1099,10
3697,568 ,1027,7
3698,1012 ,1019,7
3699,1242 ,938,2
3700,1403 ,978,4
3701,1101 ,1027,7
3704,26 ,1037,8
3705,254 ,1037,8
3707,1871 ,975,4
3708,66 ,1037,8
3709,307 ,1006,6
3711,591 ,1020,7
3712,354 ,970,3
3713,1023 ,931,2
3714,3749 ,983,4
3715,371 ,1032,7
3717,3544 ,994,5
3718,91 ,1012,6
3719,420 ,1043,8
3720,666 ,1017,7
3722,5815 ,1020,7
3723,3727 ,1015,6
3725,645 ,1028,7
3726,411 ,1023,7
3727,303 ,1015,6
3728,687 ,967,3
3730,9719 ,984,4
3732,608 ,1018,7
3733,220 ,992,5
3735,638 ,1022,7
3737,4426 ,989,5
3738,197 ,993,5
3739,239 ,993,5
3740,1183 ,1042,8
3741,3426 ,1002,6
3744,522 ,1052,8
3746,382 ,1017,6
3747,5054 ,1016,6
3749,2123 ,1044,8
3750,24407 ,1051,8
3751,150 ,1041,8
3752,24989 ,1055,9
3753,4642 ,1103,10
3754,50494 ,1062,9
3755,246 ,1097,10
3756,15931 ,1051,8
3757,9735 ,1053,8
3758,2281 ,1088,10
3759,1063 ,1130,10
3760,356 ,1154,10
3761,1186 ,1104,10
3762,117 ,1126,10
3763,1662 ,1051,8
3764,10578 ,1032,7
3765,6900 ,1080,9
3766,1277 ,1089,10
3767,1271 ,1087,10
3770,3306 ,1091,10
3775,4080 ,1087,10
3777,10922 ,1026,7
3778,201 ,1055,9
3779,501 ,984,4
3781,4638 ,1064,9
3782,7974 ,1090,10
3783,2559 ,1071,9
3785,69 ,1091,10
3786,1524 ,1108,10
3787,961 ,1089,10
3788,1773 ,1071,9
3789,294 ,1087,10
3791,1418 ,1076,9
3792,1046 ,1095,10
3793,3651 ,1043,8
3795,1323 ,1088,10
3796,9799 ,1075,9
3797,3764 ,1008,6
3799,5951 ,976,4
3802,24455 ,1023,7
3803,11355 ,978,4
3804,8466 ,1141,10
3805,58600 ,1035,8
3806,51308 ,1067,9
3807,7655 ,1098,10
3808,3147 ,1138,10
3809,19662 ,1065,9
3810,55588 ,1009,6
3812,2488 ,1074,9
3813,963 ,1059,9
3814,2604 ,1062,9
3815,3693 ,1074,9
3816,3227 ,1011,6
3818,17313 ,1019,7
3820,20054 ,1013,6
3821,3142 ,1083,10
3822,1001 ,1063,9
3823,2117 ,1019,7
3824,5438 ,1013,6
3825,21078 ,913,1
3831,2012 ,1024,7
3832,245 ,1012,6
3833,340 ,979,4
3835,475 ,1021,7
3840,17225 ,895,1
3842,4924 ,907,1
3844,31179 ,982,4
3847,2278 ,991,5
3850,15472 ,962,3
3851,6231 ,1016,6
3854,1478 ,1064,9
3856,1085 ,1050,8
3857,389 ,1048,8
3858,3125 ,994,5
3859,945 ,1024,7
3860,7455 ,986,5
3862,3547 ,1025,7
3864,241 ,999,5
3865,527 ,998,5
3869,1738 ,1042,8
3870,1319 ,996,5
3871,3039 ,1003,6
3873,324 ,1023,7
3874,610 ,985,4
3875,20015 ,974,4
3878,1306 ,1011,6
3880,4235 ,970,3
3882,1322 ,1036,8
3885,1876 ,990,5
3886,415 ,979,4
3887,268 ,977,4
3888,3502 ,930,2
3889,171 ,961,3
3890,335 ,872,1
3891,121 ,1024,7
3892,1183 ,966,3
3893,25 ,988,5
3895,198 ,989,5
3896,351 ,999,5
3898,705 ,989,5
3900,173 ,985,4
3902,423 ,993,5
3903,861 ,985,4
3904,1899 ,1016,6
3909,8713 ,943,2
3910,23588 ,1050,8
3911,3514 ,1074,9
3912,15633 ,1063,9
3913,3449 ,1065,9
3915,10723 ,958,3
3916,1036 ,1094,10
3918,4276 ,1054,9
3919,3343 ,1001,5
3920,1124 ,1016,6
3921,139 ,951,2
3922,10118 ,984,4
3923,836 ,1050,8
3925,4550 ,1023,7
3926,3421 ,1081,9
3927,1857 ,1085,10
3928,453 ,1106,10
3929,1130 ,1086,10
3930,18734 ,1129,10
3931,25759 ,1013,6
3933,1004 ,1124,10
3934,19846 ,1090,10
3936,13366 ,1013,6
3937,1717 ,1102,10
3938,3311 ,1032,7
3939,15900 ,991,5
3940,5246 ,932,2
3941,13591 ,1013,6
3942,2786 ,1053,8
3943,2013 ,1055,9
3944,787 ,1099,10
3945,1092 ,1055,9
3946,303 ,1071,9
3950,5133 ,985,4
3951,1020 ,1077,9
3953,8194 ,1001,5
3954,366 ,1062,9
3956,3037 ,1011,6
3957,310 ,1049,8
3958,284 ,1099,10
3959,1223 ,1034,7
3960,2715 ,979,4
3962,954 ,962,3
3964,174 ,1004,6
3965,220 ,972,3
3966,544 ,997,5
3967,108 ,993,5
3971,4195 ,961,3
3975,18048 ,1078,9
3976,26082 ,963,3
3977,117143 ,1038,8
3978,43202 ,1086,10
3979,365 ,1081,9
3980,3571 ,1058,9
3981,5437 ,1047,8
3984,7374 ,1008,6
3987,1644 ,1073,9
3988,1094 ,1066,9
3990,118 ,1016,6
3991,405 ,1009,6
3992,1281 ,1031,7
3995,11596 ,963,3
3996,6649 ,1020,7
4000,20341 ,862,1
4005,17714 ,978,4
4006,24411 ,895,1
4007,15451 ,1012,6
4008,373 ,969,3
4009,11 ,966,3
4010,3446 ,954,3
4011,15813 ,1033,7
4012,23440 ,1003,6
4013,4876 ,991,5
4014,13190 ,1042,8
4017,37756 ,1025,7
4018,14097 ,975,4
4019,20576 ,940,2
4020,25603 ,985,4
4021,9745 ,942,2
4022,7538 ,968,3
4025,309 ,998,5
4030,18592 ,991,5
4031,14292 ,1018,7
4032,18389 ,936,2
4034,46741 ,1004,6
4035,27323 ,1107,10
4036,7000 ,1018,7
4037,7822 ,1135,10
4051,29574 ,1029,7
4053,47604 ,1020,7
4054,13986 ,1018,7
4055,22364 ,1095,10
4059,13740 ,935,2
4060,13450 ,1092,10
4061,17318 ,1096,10
4064,12191 ,1012,6
4065,10171 ,1114,10
4066,18609 ,974,4
4067,12220 ,926,1
4068,25676 ,998,5
4069,35527 ,1126,10
4070,12045 ,1111,10
4073,9293 ,1098,10
4074,24071 ,1075,9
4075,25506 ,1045,8
4076,8353 ,940,2
4077,35805 ,893,1
4078,26263 ,1004,6
4101,35246 ,914,1
4102,10823 ,905,1
4103,14995 ,948,2
4104,7062 ,1010,6
4105,13929 ,985,4
4106,1672 ,913,1
4107,6790 ,1010,6
4108,6188 ,937,2
4109,37703 ,982,4
4110,16461 ,1000,5
4111,1085 ,986,4
4112,8737 ,1049,8
4113,29524 ,1005,6
4114,29702 ,819,1
4115,20169 ,1047,8
4116,27459 ,1050,8
4117,2954 ,999,5
4118,31493 ,1008,6
4119,6809 ,1046,8
4120,10387 ,959,3
4121,26062 ,1054,9
4122,47147 ,996,5
4123,22857 ,1055,9
4124,23445 ,1057,9
4125,12893 ,1008,6
4127,27206 ,980,4
4128,16936 ,1062,9
4129,6764 ,1015,6
4130,9140 ,1103,10
4131,11781 ,901,1
4132,27070 ,922,1
4133,22472 ,970,3
4151,18132 ,1016,6
4152,47570 ,1059,9
4153,4498 ,1088,10
4154,11449 ,1142,10
4155,1475 ,1139,10
4156,3388 ,1132,10
4157,19771 ,1029,7
4158,3877 ,991,5
4159,14816 ,1053,8
4160,19044 ,1075,9
4161,16472 ,1026,7
4163,15850 ,1007,6
4164,19263 ,1088,10
4165,39491 ,1069,9
4169,15882 ,936,2
4170,28030 ,1038,8
4171,16886 ,1072,9
4172,4946 ,1039,8
4173,8463 ,1023,7
4174,2843 ,1049,8
4178,26887 ,1003,6
4179,20222 ,1040,8
4183,2156 ,973,4
4184,8481 ,879,1
4205,6333 ,922,1
4207,68477 ,980,4
4208,24342 ,1077,9
4209,74284 ,1026,7
4210,22605 ,1084,10
4211,62508 ,1033,7
4212,33470 ,1062,9
4213,31153 ,1083,10
4214,38871 ,1022,7
4215,55425 ,896,1
4216,39714 ,991,5
4217,45197 ,967,3
4218,35371 ,1007,6
4220,32574 ,1016,6
4221,28889 ,1023,7
4223,15156 ,1038,8
4224,7175 ,1002,5
4225,8374 ,944,2
4226,37266 ,1020,7
4227,23904 ,1015,6
4228,5585 ,1122,10
4270,4388 ,1100,10
4272,8105 ,1046,8
4275,3895 ,1077,9
4280,21258 ,1077,9
4285,21763 ,1013,6
4287,938 ,992,5
4300,68675 ,1018,7
4301,36527 ,948,2
4303,4173 ,850,1
4304,17815 ,919,1
4305,64356 ,944,2
4306,43997 ,1066,9
4307,1575 ,1046,8
4309,3366 ,1023,7
4310,6017 ,1006,6
4311,10412 ,986,4
4312,2590 ,968,3
4313,2316 ,976,4
4314,3255 ,936,2
4340,6007 ,970,3
4341,15952 ,1000,5
4342,2702 ,973,4
4343,12173 ,960,3
4344,2709 ,1021,7
4346,1013 ,1031,7
4347,1344 ,1011,6
4350,115218 ,960,3
4352,31026 ,1079,9
4353,348 ,1050,8
4354,1283 ,985,4
4355,2812 ,944,2
4356,5218 ,1002,5
4357,2531 ,947,2
4358,2967 ,1021,7
4359,1388 ,1029,7
4360,609 ,1011,6
4361,2654 ,971,3
4362,2613 ,993,5
4363,626 ,999,5
4364,182 ,1023,7
4365,596 ,942,2
4370,19195 ,959,3
4371,695 ,1007,6
4372,148 ,1058,9
4373,983 ,950,2
4374,402 ,981,4
4375,229 ,990,5
4376,351 ,931,2
4377,625 ,1017,6
4378,571 ,998,5
4380,8093 ,956,3
4381,692 ,1000,5
4382,462 ,1012,6
4383,607 ,870,1
4384,49 ,996,5
4385,1166 ,917,1
4387,1338 ,937,2
4388,348 ,931,2
4390,6719 ,994,5
4400,2159 ,1036,8
4401,5823 ,961,3
4402,297 ,912,1
4403,850 ,999,5
4404,474 ,1044,8
4405,14360 ,970,3
4406,1712 ,1042,8
4407,506 ,951,2
4408,538 ,997,5
4410,1156 ,943,2
4411,291 ,1019,7
4412,211 ,1028,7
4413,8675 ,977,4
4415,2166 ,939,2
4416,412 ,1027,7
4417,699 ,974,4
4418,86 ,1020,7
4419,1082 ,976,4
4420,1219 ,1010,6
4421,2178 ,861,1
4422,447 ,1013,6
4423,197 ,1022,7
4424,235 ,1011,6
4425,170 ,1041,8
4426,146 ,1065,9
4427,315 ,952,2
4428,627 ,1017,6
4454,730 ,1020,7
4455,8610 ,985,4
4461,38 ,1094,10
4462,128 ,1010,6
4465,1263 ,963,3
4467,157 ,1091,10
4468,260 ,983,4
4470,3184 ,935,2
4472,1408 ,977,4
4474,72 ,1085,10
4477,530 ,970,3
4478,500 ,973,4
4479,7 ,1081,9
4480,625 ,967,3
4481,118 ,1002,6
4482,110 ,884,1
4486,669 ,934,2
4487,3179 ,938,2
4488,247 ,1016,6
4489,78 ,1029,7
4490,1508 ,847,1
4491,94 ,896,1
4492,322 ,971,3
4493,19 ,1002,5
4494,160 ,1013,6
4496,208 ,981,4
4497,315 ,994,5
4498,188 ,1002,6
4500,45656 ,1035,8
4501,5905 ,926,1
4502,8722 ,1012,6
4503,52483 ,992,5
4504,20910 ,1077,9
4505,26144 ,1037,8
4506,25306 ,975,4
4507,20612 ,964,3
4508,19573 ,936,2
4509,37952 ,1042,8
4510,55940 ,960,3
4511,9929 ,1016,6
4512,3677 ,1085,10
4514,8605 ,1045,8
4515,4467 ,1002,5
4516,4290 ,1096,10
4517,941 ,1027,7
4518,5601 ,1053,8
4519,9477 ,1016,6
4520,13885 ,1145,10
4521,5174 ,1097,10
4550,4908 ,1032,7
4551,68286 ,1014,6
4552,9019 ,1017,6
4553,10748 ,1089,10
4554,2000 ,1058,9
4555,7723 ,1051,8
4556,47150 ,1044,8
4557,20161 ,1007,6
4558,23327 ,960,3
4559,7444 ,1050,8
4560,36706 ,1004,6
4561,8637 ,1060,9
4562,8793 ,1096,10
4563,9826 ,1037,8
4564,11659 ,1013,6
4565,15033 ,1009,6
4566,8716 ,1025,7
4567,11979 ,1041,8
4568,3736 ,1033,7
4569,1756 ,1000,5
4570,46427 ,974,4
4571,903 ,999,5
4572,4235 ,996,5
4573,31392 ,1040,8
4574,1432 ,1006,6
4575,28022 ,1019,7
4580,5219 ,936,2
4581,1415 ,959,3
4600,910 ,964,3
4601,1145 ,945,2
4605,4770 ,842,1
4606,2399 ,937,2
4608,920 ,972,3
4610,15212 ,961,3
4611,129 ,1014,6
4612,250 ,955,3
4613,886 ,906,1
4614,1226 ,914,1
4615,7356 ,929,2
4620,448 ,961,3
4621,1808 ,925,1
4625,2681 ,943,2
4626,1992 ,951,2
4627,848 ,932,2
4630,2337 ,960,3
4650,34942 ,930,2
4655,66789 ,969,3
4659,5358 ,946,2
4660,8048 ,959,3
4662,841 ,939,2
4670,84718 ,955,3
4671,6285 ,930,2
4673,669 ,964,3
4674,1579 ,934,2
4676,177 ,958,3
4677,4217 ,963,3
4678,818 ,994,5
4680,55339 ,977,4
4694,112 ,985,4
4695,1114 ,989,5
4697,143 ,965,3
4699,451 ,993,5
4700,17312 ,936,2
4701,43828 ,961,3
4702,29819 ,1012,6
4703,25129 ,1024,7
4704,126 ,1073,9
4705,405 ,1043,8
4706,72 ,1011,6
4707,254 ,952,2
4709,732 ,976,4
4710,5119 ,985,4
4711,1787 ,1104,10
4712,262 ,922,1
4713,1019 ,513,1
4714,2945 ,859,1
4715,7068 ,996,5
4716,825 ,1034,7
4717,4702 ,958,3
4718,2582 ,971,3
4719,1084 ,993,5
4720,15031 ,1020,7
4721,3962 ,1011,6
4722,1640 ,1031,7
4723,1596 ,1016,6
4724,559 ,1021,7
4725,1540 ,978,4
4726,372 ,951,2
4727,310 ,982,4
4728,229 ,1010,6
4730,3177 ,967,3
4731,218 ,963,3
4732,158 ,1052,8
4733,158 ,1084,10
4735,960 ,952,2
4736,131 ,1002,6
4737,8325 ,1000,5
4738,1155 ,1035,7
4739,340 ,981,4
4740,85500 ,998,5
4741,7346 ,1044,8
4742,1192 ,1006,6
4743,556 ,977,4
4744,9425 ,997,5
4745,2918 ,976,4
4746,1989 ,951,2
4750,6025 ,1032,7
4751,4681 ,1053,8
4753,4627 ,1083,10
4754,2505 ,1026,7
4756,655 ,952,2
4757,362 ,924,1
4798,691 ,964,3
4799,971 ,964,3
4800,10081 ,1013,6
