Small Unit Postcode,Total Rated Power Output In kW
2084,0.42
2168,0.25
2195,1.53
2259,5.1
2267,5
2304,5
2318,2.4
2321,0.4
2329,10
2330,10.2
2333,15
2335,5
2340,20
2343,20
2350,25
2353,5
2354,35
2358,2
2360,20
2370,10
2372,10
2380,5
2405,10
2429,0.4
2440,20
2444,2.5
2446,0.4
2447,1
2450,1
2470,3
2477,1.8
2479,13.3
2480,10.2
2481,15
2482,0.2
2484,0.4
2526,10
2527,10
2533,21.68
2534,15
2535,35
2538,5.8
2539,5
2540,10.4
2546,10.4
2550,1.4
2551,0.4
2575,2.4
2576,30
2577,57.1
2579,20
2580,63.15
2581,15
2582,10
2583,106
2584,0.75
2585,10
2586,2.2
2588,10
2618,5
2620,10
2622,20.3
2623,0.9
2626,1.2
2627,30
2630,10.9
2631,6
2632,10
2706,10
2765,10
2782,0.9
2787,2.68
2790,2.64
2794,2
2795,70.4
2799,5.3
2800,20
2803,1
2820,10
2830,10
2835,1
2842,10
2843,20
2850,50.4
2852,5
3013,3
3020,1
3029,1
3030,1.5
3058,1
3072,2
3101,2
3152,4.8
3182,2
3197,1.52
3233,5.1
3237,1
3240,5.1
3283,1.5
3333,1.8
3340,1
3341,1
3342,6.3
3351,1
3352,4.3
3355,3.3
3364,0.65
3371,1
3373,1
3437,1.1
3442,4.5
3444,8.28
3461,5.3
3490,3
3523,3.9
3551,1
3610,1.6
3659,0.4
3691,0.6
3714,1.8
3723,3.3
3756,6
3757,1
3761,1.8
3764,2.5
3770,1
3777,1
3806,3.3
3844,1
3851,1.5
3880,1
3885,2
3898,0.4
3921,10.4
3953,2
3956,1.5
3960,1.5
3984,2
3995,3
4061,1
4075,1.5
4228,0.2
4272,1.2
4312,1
4350,1.9
4352,3.6
4361,1
4370,1
4421,0.4
4507,0.4
4520,0
4521,1
4552,1.2
4570,1
4574,0.8
4660,2.5
4674,1.57
4678,1
4680,5.38
4829,1
4861,0.6
4875,1.6
4879,0.3
4883,0.4
5000,1.8
5039,1
5072,0.4
5156,1
5160,1
5163,5.5
5171,12.25
5172,2.5
5201,1.2
5203,2.4
5211,2.8
5214,4.3
5221,0.4
5222,3
5223,5.4
5235,3.7
5238,0.8
5250,1.8
5254,1.8
5271,1.8
5275,5.1
5291,5.1
5351,0.9
5353,0.4
5354,3.24
5357,2
5374,0.8
5381,1.6
5434,0.4
5453,1
5501,1.8
5571,4
5577,1.8
5605,1
5607,2.36
5641,0.4
5670,2.5
5680,6.1
5690,3
5710,5
5722,0.6
6110,1
6163,1
6210,1
6221,1
6237,1
6252,3
6258,1
6280,1.55
6282,1.5
6284,1
6285,1
6290,1.35
6302,3.5
6304,3
6315,1
6323,2.25
6324,1.16
6326,0.26
6330,2.25
6333,7
6346,2
6450,2.5
6460,1
6530,2.5
6532,1
6638,1
6701,18.45
7016,1.5
7019,10
7025,1
7027,1.5
7030,0.5
7054,1.6
7112,2.2
7116,1.5
7140,1.2
7150,10
7170,1
7173,2
7180,3.2
7182,10
7184,1
7249,0.75
7250,1
7252,2.4
7255,1
7256,14.9
7469,0.3